"country","coub","sex","age","reg_region","fborn","education","number"
"ALB","ALB",1,1,"EURO",0,1,106880
"ALB","ALB",1,1,"EURO",0,2,13112
"ALB","ALB",1,2,"EURO",0,1,16750
"ALB","ALB",1,2,"EURO",0,2,133026
"ALB","ALB",1,2,"EURO",0,3,91634
"ALB","ALB",1,2,"EURO",0,56,20092
"ALB","ALB",1,3,"EURO",0,1,10277
"ALB","ALB",1,3,"EURO",0,2,82144
"ALB","ALB",1,3,"EURO",0,3,54810
"ALB","ALB",1,3,"EURO",0,56,29445
"ALB","ALB",1,4,"EURO",0,1,6721
"ALB","ALB",1,4,"EURO",0,2,71473
"ALB","ALB",1,4,"EURO",0,3,68486
"ALB","ALB",1,4,"EURO",0,56,19877
"ALB","ALB",1,5,"EURO",0,1,7753
"ALB","ALB",1,5,"EURO",0,2,77612
"ALB","ALB",1,5,"EURO",0,3,85703
"ALB","ALB",1,5,"EURO",0,56,20276
"ALB","ALB",1,6,"EURO",0,1,14220
"ALB","ALB",1,6,"EURO",0,2,54773
"ALB","ALB",1,6,"EURO",0,3,55586
"ALB","ALB",1,6,"EURO",0,56,21874
"ALB","ALB",1,7,"EURO",0,1,62365
"ALB","ALB",1,7,"EURO",0,2,42975
"ALB","ALB",1,7,"EURO",0,3,29111
"ALB","ALB",1,7,"EURO",0,56,16122
"ALB","ALB",2,1,"EURO",0,1,99871
"ALB","ALB",2,1,"EURO",0,2,12680
"ALB","ALB",2,2,"EURO",0,1,14359
"ALB","ALB",2,2,"EURO",0,2,122244
"ALB","ALB",2,2,"EURO",0,3,76674
"ALB","ALB",2,2,"EURO",0,56,32001
"ALB","ALB",2,3,"EURO",0,1,7971
"ALB","ALB",2,3,"EURO",0,2,89141
"ALB","ALB",2,3,"EURO",0,3,37547
"ALB","ALB",2,3,"EURO",0,56,41775
"ALB","ALB",2,4,"EURO",0,1,5775
"ALB","ALB",2,4,"EURO",0,2,87718
"ALB","ALB",2,4,"EURO",0,3,66248
"ALB","ALB",2,4,"EURO",0,56,25767
"ALB","ALB",2,5,"EURO",0,1,9156
"ALB","ALB",2,5,"EURO",0,2,97699
"ALB","ALB",2,5,"EURO",0,3,71728
"ALB","ALB",2,5,"EURO",0,56,16825
"ALB","ALB",2,6,"EURO",0,1,28857
"ALB","ALB",2,6,"EURO",0,2,62826
"ALB","ALB",2,6,"EURO",0,3,41370
"ALB","ALB",2,6,"EURO",0,56,12476
"ALB","ALB",2,7,"EURO",0,1,107358
"ALB","ALB",2,7,"EURO",0,2,37130
"ALB","ALB",2,7,"EURO",0,3,15908
"ALB","ALB",2,7,"EURO",0,56,4362
"ALB","CAN",1,4,"NOAM",1,3,4
"ALB","CAN",1,4,"NOAM",1,56,4
"ALB","CAN",1,5,"NOAM",1,3,5
"ALB","CAN",1,5,"NOAM",1,56,7
"ALB","FRA",1,1,"EURO",1,1,5
"ALB","FRA",1,4,"EURO",1,56,5
"ALB","FRA",1,5,"EURO",1,56,5
"ALB","FYUG-MKD",1,1,"EURO",1,1,12
"ALB","FYUG-MKD",1,2,"EURO",1,2,17
"ALB","FYUG-MKD",1,2,"EURO",1,3,21
"ALB","FYUG-MKD",1,2,"EURO",1,56,10
"ALB","FYUG-MKD",1,3,"EURO",1,2,22
"ALB","FYUG-MKD",1,3,"EURO",1,3,36
"ALB","FYUG-MKD",1,3,"EURO",1,56,27
"ALB","FYUG-MKD",1,4,"EURO",1,2,32
"ALB","FYUG-MKD",1,4,"EURO",1,3,47
"ALB","FYUG-MKD",1,4,"EURO",1,56,21
"ALB","FYUG-MKD",1,5,"EURO",1,1,6
"ALB","FYUG-MKD",1,5,"EURO",1,2,65
"ALB","FYUG-MKD",1,5,"EURO",1,3,54
"ALB","FYUG-MKD",1,5,"EURO",1,56,13
"ALB","FYUG-MKD",1,6,"EURO",1,1,14
"ALB","FYUG-MKD",1,6,"EURO",1,2,50
"ALB","FYUG-MKD",1,6,"EURO",1,3,52
"ALB","FYUG-MKD",1,6,"EURO",1,56,11
"ALB","FYUG-MKD",1,7,"EURO",1,1,45
"ALB","FYUG-MKD",1,7,"EURO",1,2,23
"ALB","FYUG-MKD",1,7,"EURO",1,3,18
"ALB","FYUG-MKD",1,7,"EURO",1,56,10
"ALB","FYUG-MKD",2,1,"EURO",1,1,14
"ALB","FYUG-MKD",2,2,"EURO",1,2,16
"ALB","FYUG-MKD",2,2,"EURO",1,3,15
"ALB","FYUG-MKD",2,2,"EURO",1,56,6
"ALB","FYUG-MKD",2,3,"EURO",1,3,10
"ALB","FYUG-MKD",2,3,"EURO",1,56,11
"ALB","FYUG-MKD",2,4,"EURO",1,2,12
"ALB","FYUG-MKD",2,4,"EURO",1,3,17
"ALB","FYUG-MKD",2,4,"EURO",1,56,7
"ALB","FYUG-MKD",2,5,"EURO",1,2,14
"ALB","FYUG-MKD",2,5,"EURO",1,3,16
"ALB","FYUG-MKD",2,6,"EURO",1,1,8
"ALB","FYUG-MKD",2,6,"EURO",1,2,16
"ALB","FYUG-MKD",2,6,"EURO",1,3,11
"ALB","FYUG-MKD",2,7,"EURO",1,1,63
"ALB","FYUG-MKD",2,7,"EURO",1,2,10
"ALB","FYUG-MKD",2,7,"EURO",1,3,4
"ALB","FYUG-XXK",1,1,"EURO",1,1,11
"ALB","FYUG-XXK",1,1,"EURO",1,2,4
"ALB","FYUG-XXK",1,2,"EURO",1,1,45
"ALB","FYUG-XXK",1,2,"EURO",1,2,15
"ALB","FYUG-XXK",1,2,"EURO",1,3,84
"ALB","FYUG-XXK",1,2,"EURO",1,56,19
"ALB","FYUG-XXK",1,3,"EURO",1,1,14
"ALB","FYUG-XXK",1,3,"EURO",1,2,9
"ALB","FYUG-XXK",1,3,"EURO",1,3,28
"ALB","FYUG-XXK",1,3,"EURO",1,56,34
"ALB","FYUG-XXK",1,4,"EURO",1,1,5
"ALB","FYUG-XXK",1,4,"EURO",1,2,10
"ALB","FYUG-XXK",1,4,"EURO",1,3,19
"ALB","FYUG-XXK",1,4,"EURO",1,56,16
"ALB","FYUG-XXK",1,5,"EURO",1,2,4
"ALB","FYUG-XXK",1,5,"EURO",1,3,16
"ALB","FYUG-XXK",1,5,"EURO",1,56,12
"ALB","FYUG-XXK",1,6,"EURO",1,1,4
"ALB","FYUG-XXK",1,6,"EURO",1,3,4
"ALB","FYUG-XXK",1,6,"EURO",1,56,5
"ALB","FYUG-XXK",1,7,"EURO",1,1,10
"ALB","FYUG-XXK",1,7,"EURO",1,2,5
"ALB","FYUG-XXK",1,7,"EURO",1,56,5
"ALB","FYUG-XXK",2,1,"EURO",1,1,11
"ALB","FYUG-XXK",2,2,"EURO",1,1,37
"ALB","FYUG-XXK",2,2,"EURO",1,2,25
"ALB","FYUG-XXK",2,2,"EURO",1,3,36
"ALB","FYUG-XXK",2,2,"EURO",1,56,21
"ALB","FYUG-XXK",2,3,"EURO",1,1,12
"ALB","FYUG-XXK",2,3,"EURO",1,2,24
"ALB","FYUG-XXK",2,3,"EURO",1,3,29
"ALB","FYUG-XXK",2,3,"EURO",1,56,19
"ALB","FYUG-XXK",2,4,"EURO",1,2,11
"ALB","FYUG-XXK",2,4,"EURO",1,3,11
"ALB","FYUG-XXK",2,4,"EURO",1,56,16
"ALB","FYUG-XXK",2,5,"EURO",1,1,6
"ALB","FYUG-XXK",2,5,"EURO",1,3,8
"ALB","FYUG-XXK",2,5,"EURO",1,56,9
"ALB","FYUG-XXK",2,6,"EURO",1,1,6
"ALB","FYUG-XXK",2,6,"EURO",1,2,4
"ALB","FYUG-XXK",2,7,"EURO",1,1,20
"ALB","GRC",1,1,"EURO",1,1,126
"ALB","GRC",1,1,"EURO",1,2,12
"ALB","GRC",1,2,"EURO",1,1,228
"ALB","GRC",1,2,"EURO",1,2,44
"ALB","GRC",1,2,"EURO",1,3,39
"ALB","GRC",1,2,"EURO",1,56,10
"ALB","GRC",1,3,"EURO",1,1,82
"ALB","GRC",1,3,"EURO",1,2,35
"ALB","GRC",1,3,"EURO",1,3,37
"ALB","GRC",1,3,"EURO",1,56,17
"ALB","GRC",1,4,"EURO",1,1,54
"ALB","GRC",1,4,"EURO",1,2,45
"ALB","GRC",1,4,"EURO",1,3,64
"ALB","GRC",1,4,"EURO",1,56,35
"ALB","GRC",1,5,"EURO",1,1,19
"ALB","GRC",1,5,"EURO",1,2,81
"ALB","GRC",1,5,"EURO",1,3,140
"ALB","GRC",1,5,"EURO",1,56,35
"ALB","GRC",1,6,"EURO",1,1,39
"ALB","GRC",1,6,"EURO",1,2,82
"ALB","GRC",1,6,"EURO",1,3,126
"ALB","GRC",1,6,"EURO",1,56,48
"ALB","GRC",1,7,"EURO",1,1,212
"ALB","GRC",1,7,"EURO",1,2,179
"ALB","GRC",1,7,"EURO",1,3,129
"ALB","GRC",1,7,"EURO",1,56,63
"ALB","GRC",2,1,"EURO",1,1,115
"ALB","GRC",2,1,"EURO",1,2,11
"ALB","GRC",2,2,"EURO",1,1,348
"ALB","GRC",2,2,"EURO",1,2,41
"ALB","GRC",2,2,"EURO",1,3,41
"ALB","GRC",2,2,"EURO",1,56,16
"ALB","GRC",2,3,"EURO",1,1,76
"ALB","GRC",2,3,"EURO",1,2,16
"ALB","GRC",2,3,"EURO",1,3,27
"ALB","GRC",2,3,"EURO",1,56,17
"ALB","GRC",2,4,"EURO",1,1,25
"ALB","GRC",2,4,"EURO",1,2,6
